RoboCar Sensor Log
Started at: 2025-05-13T14:56:11.948097
================================================================================
[2025-05-13T14:56:12.448264] POS: (0.00, 0.00, 0.0°) | VEL: linear=0.00, angular=0.00 | US: 0.99m | MAG: -0.12 | VIB: YES | ALC: 0.18
[2025-05-13T14:57:28.948281] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.99m | MAG: 0.17 | VIB: YES | ALC: 0.03
[2025-05-13T14:57:29.448233] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.01m | MAG: 0.09 | VIB: NO | ALC: 0.18
[2025-05-13T14:57:29.948277] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.98m | MAG: -0.09 | VIB: NO | ALC: 0.06
[2025-05-13T14:57:30.448309] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.97m | MAG: 0.15 | VIB: NO | ALC: 0.04
[2025-05-13T14:57:30.948253] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.04m | MAG: 0.11 | VIB: NO | ALC: 0.17
[2025-05-13T14:57:31.448220] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.20m | MAG: -0.08 | VIB: NO | ALC: 0.01
[2025-05-13T14:57:31.948232] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.21m | MAG: -0.06 | VIB: YES | ALC: 0.13
[2025-05-13T14:57:32.448281] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.01m | MAG: -0.09 | VIB: YES | ALC: 0.08
[2025-05-13T14:57:32.948267] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.98m | MAG: -0.15 | VIB: NO | ALC: 0.17
[2025-05-13T14:57:33.448333] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.00m | MAG: 0.05 | VIB: NO | ALC: 0.10
[2025-05-13T14:57:33.948255] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.03m | MAG: -0.04 | VIB: NO | ALC: 0.05
[2025-05-13T14:57:34.448224] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.43m | MAG: -0.00 | VIB: NO | ALC: 0.00
[2025-05-13T14:57:34.948223] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.98m | MAG: 0.10 | VIB: NO | ALC: 0.10
[2025-05-13T14:57:35.448223] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.96m | MAG: 0.14 | VIB: NO | ALC: 0.02
[2025-05-13T14:57:35.948303] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.02m | MAG: -0.17 | VIB: NO | ALC: 0.07
[2025-05-13T14:57:36.448222] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.04m | MAG: 0.09 | VIB: NO | ALC: 0.12
[2025-05-13T14:57:36.948272] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.04m | MAG: 0.10 | VIB: NO | ALC: 0.08
[2025-05-13T14:57:37.448249] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.97m | MAG: -0.02 | VIB: NO | ALC: 0.05
[2025-05-13T14:57:37.948271] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.04m | MAG: 0.15 | VIB: NO | ALC: 0.05
[2025-05-13T14:57:38.448269] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.99m | MAG: 0.14 | VIB: NO | ALC: 0.18
[2025-05-13T14:57:38.948237] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.38m | MAG: 0.19 | VIB: NO | ALC: 0.16
[2025-05-13T14:57:39.448445] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.96m | MAG: 0.19 | VIB: NO | ALC: 0.11
[2025-05-13T14:57:39.948237] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.04m | MAG: 0.10 | VIB: NO | ALC: 0.10
[2025-05-13T14:57:40.448258] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.97m | MAG: 0.15 | VIB: NO | ALC: 0.01
[2025-05-13T14:57:40.948449] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.01m | MAG: 0.04 | VIB: NO | ALC: 0.05
[2025-05-13T14:57:41.448254] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.98m | MAG: 0.12 | VIB: NO | ALC: 0.09
[2025-05-13T14:57:41.948257] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.02m | MAG: 0.00 | VIB: NO | ALC: 0.18
[2025-05-13T14:57:42.448250] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.99m | MAG: -0.15 | VIB: NO | ALC: 0.01
[2025-05-13T14:57:42.948272] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.03m | MAG: -0.11 | VIB: NO | ALC: 0.08
[2025-05-13T14:57:43.448282] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.03m | MAG: -0.07 | VIB: NO | ALC: 0.17
[2025-05-13T14:57:43.948280] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.03m | MAG: 0.11 | VIB: NO | ALC: 0.02
[2025-05-13T14:57:44.448254] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.03m | MAG: -0.15 | VIB: NO | ALC: 0.19
[2025-05-13T14:57:44.948243] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.00m | MAG: -0.07 | VIB: NO | ALC: 0.03
[2025-05-13T14:57:45.448270] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.05m | MAG: -0.15 | VIB: YES | ALC: 0.08
[2025-05-13T14:57:45.948224] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.96m | MAG: 0.03 | VIB: NO | ALC: 0.12
[2025-05-13T14:57:46.448336] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.03m | MAG: -0.14 | VIB: YES | ALC: 0.11
[2025-05-13T14:57:46.948257] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.04m | MAG: -0.14 | VIB: NO | ALC: 0.17
[2025-05-13T14:57:47.448264] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.96m | MAG: -0.03 | VIB: NO | ALC: 0.06
[2025-05-13T14:57:47.948225] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.98m | MAG: -0.08 | VIB: NO | ALC: 0.07
[2025-05-13T14:57:48.448267] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.02m | MAG: -0.07 | VIB: YES | ALC: 0.06
[2025-05-13T14:57:48.948225] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.40m | MAG: 0.10 | VIB: YES | ALC: 0.12
[2025-05-13T14:57:49.448250] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.03m | MAG: 0.15 | VIB: NO | ALC: 0.19
[2025-05-13T14:57:49.948252] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.04m | MAG: -0.18 | VIB: NO | ALC: 0.12
[2025-05-13T14:57:50.448274] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.34m | MAG: -0.14 | VIB: NO | ALC: 0.13
[2025-05-13T14:57:50.948294] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.96m | MAG: -0.07 | VIB: NO | ALC: 0.19
[2025-05-13T14:57:51.448261] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.05m | MAG: 0.11 | VIB: NO | ALC: 0.05
[2025-05-13T14:57:51.948239] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.31m | MAG: -0.20 | VIB: NO | ALC: 0.15
[2025-05-13T14:57:52.448272] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.02m | MAG: 0.04 | VIB: NO | ALC: 0.00
[2025-05-13T14:57:52.948261] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.43m | MAG: 0.07 | VIB: NO | ALC: 0.08
[2025-05-13T14:57:53.448225] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.40m | MAG: 0.13 | VIB: NO | ALC: 0.19
[2025-05-13T14:57:53.948276] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.02m | MAG: 0.17 | VIB: NO | ALC: 0.14
[2025-05-13T14:57:54.448334] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.04m | MAG: 0.04 | VIB: YES | ALC: 0.05
[2025-05-13T14:57:54.948254] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.43m | MAG: 0.01 | VIB: NO | ALC: 0.03
[2025-05-13T14:57:55.448262] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.35m | MAG: -0.09 | VIB: YES | ALC: 0.02
[2025-05-13T14:57:55.948266] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.95m | MAG: 0.16 | VIB: NO | ALC: 0.03
[2025-05-13T14:57:56.448271] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.31m | MAG: -0.18 | VIB: NO | ALC: 0.12
[2025-05-13T14:57:56.948276] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.31m | MAG: -0.01 | VIB: NO | ALC: 0.05
[2025-05-13T14:57:57.448297] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.03m | MAG: 0.01 | VIB: NO | ALC: 0.02
[2025-05-13T14:57:57.948550] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.43m | MAG: -0.05 | VIB: NO | ALC: 0.13
[2025-05-13T14:57:58.448324] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.98m | MAG: 0.04 | VIB: NO | ALC: 0.17
[2025-05-13T14:57:58.948456] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.98m | MAG: 0.16 | VIB: NO | ALC: 0.17
[2025-05-13T14:57:59.448366] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.01m | MAG: -0.20 | VIB: NO | ALC: 0.10
[2025-05-13T14:57:59.948277] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.27m | MAG: 0.09 | VIB: NO | ALC: 0.05
[2025-05-13T14:58:00.448360] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.96m | MAG: -0.03 | VIB: NO | ALC: 0.18
[2025-05-13T14:58:00.948353] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.29m | MAG: -0.16 | VIB: NO | ALC: 0.16
[2025-05-13T14:58:01.448294] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.00m | MAG: -0.05 | VIB: NO | ALC: 0.04
[2025-05-13T14:58:01.948393] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.04m | MAG: -0.12 | VIB: NO | ALC: 0.01
[2025-05-13T14:58:02.448321] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.96m | MAG: -0.04 | VIB: NO | ALC: 0.16
[2025-05-13T14:58:02.948355] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.04m | MAG: -0.16 | VIB: NO | ALC: 0.19
[2025-05-13T14:58:03.448283] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.40m | MAG: 0.14 | VIB: NO | ALC: 0.02
[2025-05-13T14:58:03.948304] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.05m | MAG: 0.10 | VIB: NO | ALC: 0.17
[2025-05-13T14:58:04.448301] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.95m | MAG: 0.06 | VIB: YES | ALC: 0.06
[2025-05-13T14:58:04.948311] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.00m | MAG: 0.01 | VIB: NO | ALC: 0.00
[2025-05-13T14:58:05.448299] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.01m | MAG: -0.01 | VIB: NO | ALC: 0.05
[2025-05-13T14:58:05.948448] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.00m | MAG: 0.17 | VIB: NO | ALC: 0.01
[2025-05-13T14:58:06.448296] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.25m | MAG: -0.14 | VIB: NO | ALC: 0.16
[2025-05-13T14:58:06.948311] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.96m | MAG: -0.08 | VIB: NO | ALC: 0.04
[2025-05-13T14:58:07.448377] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.96m | MAG: -0.10 | VIB: NO | ALC: 0.05
[2025-05-13T14:58:07.948324] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.96m | MAG: 0.17 | VIB: NO | ALC: 0.13
[2025-05-13T14:58:08.448269] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.00m | MAG: 0.08 | VIB: NO | ALC: 0.12
[2025-05-13T14:58:08.948342] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.97m | MAG: -0.08 | VIB: NO | ALC: 0.09
[2025-05-13T14:58:09.448344] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.02m | MAG: -0.10 | VIB: NO | ALC: 0.06
[2025-05-13T14:58:09.948304] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.01m | MAG: -0.12 | VIB: NO | ALC: 0.20
[2025-05-13T14:58:10.448292] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.46m | MAG: 0.07 | VIB: NO | ALC: 0.10
[2025-05-13T14:58:10.948335] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.99m | MAG: -0.18 | VIB: NO | ALC: 0.11
[2025-05-13T14:58:11.448304] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.39m | MAG: -0.09 | VIB: NO | ALC: 0.02
[2025-05-13T14:58:11.948315] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.99m | MAG: -0.18 | VIB: YES | ALC: 0.06
[2025-05-13T14:58:12.448315] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.38m | MAG: -0.03 | VIB: NO | ALC: 0.00
[2025-05-13T14:58:12.948303] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.00m | MAG: 0.10 | VIB: NO | ALC: 0.11
[2025-05-13T14:58:13.448268] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.01m | MAG: 0.05 | VIB: NO | ALC: 0.12
[2025-05-13T14:58:13.948326] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.04m | MAG: 0.01 | VIB: YES | ALC: 0.00
[2025-05-13T14:58:14.448318] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.24m | MAG: -0.02 | VIB: NO | ALC: 0.16
[2025-05-13T14:58:14.948303] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.96m | MAG: -0.18 | VIB: NO | ALC: 0.09
[2025-05-13T14:58:15.448287] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.49m | MAG: 0.09 | VIB: NO | ALC: 0.10
[2025-05-13T14:58:15.948371] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.05m | MAG: 0.15 | VIB: NO | ALC: 0.00
[2025-05-13T14:58:16.448519] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.95m | MAG: 0.08 | VIB: YES | ALC: 0.04
[2025-05-13T14:58:16.948315] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.02m | MAG: 0.11 | VIB: NO | ALC: 0.04
[2025-05-13T14:58:17.448390] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.42m | MAG: 0.20 | VIB: NO | ALC: 0.19
[2025-05-13T14:58:17.948300] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.32m | MAG: -0.07 | VIB: NO | ALC: 0.14
[2025-05-13T14:58:18.448261] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.05m | MAG: -0.07 | VIB: NO | ALC: 0.02
[2025-05-13T14:58:18.948256] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.98m | MAG: -0.06 | VIB: NO | ALC: 0.01
[2025-05-13T14:58:19.448342] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.99m | MAG: 0.07 | VIB: NO | ALC: 0.09
[2025-05-13T14:58:19.948304] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.26m | MAG: -0.13 | VIB: NO | ALC: 0.15
[2025-05-13T14:58:20.448405] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.31m | MAG: 0.18 | VIB: NO | ALC: 0.18
[2025-05-13T14:58:20.948318] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.27m | MAG: -0.18 | VIB: NO | ALC: 0.06
[2025-05-13T14:58:21.448222] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.03m | MAG: -0.12 | VIB: YES | ALC: 0.16
[2025-05-13T14:58:21.948223] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.98m | MAG: 0.10 | VIB: NO | ALC: 0.08
[2025-05-13T14:58:22.448221] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.01m | MAG: 0.08 | VIB: YES | ALC: 0.16
[2025-05-13T14:58:22.948235] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.05m | MAG: 0.02 | VIB: NO | ALC: 0.15
[2025-05-13T14:58:23.448276] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.04m | MAG: -0.03 | VIB: NO | ALC: 0.05
[2025-05-13T14:58:23.948291] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.98m | MAG: -0.16 | VIB: NO | ALC: 0.01
[2025-05-13T14:58:24.448515] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.97m | MAG: -0.07 | VIB: NO | ALC: 0.18
[2025-05-13T14:58:24.948424] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.98m | MAG: -0.08 | VIB: NO | ALC: 0.00
[2025-05-13T14:58:25.448303] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.02m | MAG: -0.05 | VIB: NO | ALC: 0.04
[2025-05-13T14:58:25.948453] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.96m | MAG: -0.14 | VIB: NO | ALC: 0.05
[2025-05-13T14:58:26.448314] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.48m | MAG: 0.15 | VIB: NO | ALC: 0.01
[2025-05-13T14:58:26.948541] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.02m | MAG: -0.05 | VIB: NO | ALC: 0.06
[2025-05-13T14:58:27.448392] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.98m | MAG: -0.13 | VIB: NO | ALC: 0.04
[2025-05-13T14:58:27.948506] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.00m | MAG: -0.15 | VIB: NO | ALC: 0.12
[2025-05-13T14:58:28.448380] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.01m | MAG: 0.15 | VIB: NO | ALC: 0.03
[2025-05-13T14:58:28.948316] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.42m | MAG: -0.01 | VIB: NO | ALC: 0.09
[2025-05-13T14:58:29.448399] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.98m | MAG: -0.01 | VIB: NO | ALC: 0.20
[2025-05-13T14:58:29.948317] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.99m | MAG: 0.17 | VIB: NO | ALC: 0.10
[2025-05-13T14:58:30.448361] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.02m | MAG: -0.04 | VIB: YES | ALC: 0.10
[2025-05-13T14:58:30.948448] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.04m | MAG: 0.03 | VIB: NO | ALC: 0.05
[2025-05-13T14:58:31.448382] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.38m | MAG: -0.19 | VIB: NO | ALC: 0.02
[2025-05-13T14:58:31.948282] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.04m | MAG: 0.07 | VIB: NO | ALC: 0.09
[2025-05-13T14:58:32.448296] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.04m | MAG: -0.14 | VIB: NO | ALC: 0.02
[2025-05-13T14:58:32.948403] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.03m | MAG: 0.05 | VIB: NO | ALC: 0.13
[2025-05-13T14:58:33.448525] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.98m | MAG: 0.05 | VIB: YES | ALC: 0.10
[2025-05-13T14:58:33.948265] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.24m | MAG: 0.10 | VIB: NO | ALC: 0.05
[2025-05-13T14:58:34.448445] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.05m | MAG: -0.12 | VIB: NO | ALC: 0.01
[2025-05-13T14:58:34.948409] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.49m | MAG: 0.18 | VIB: NO | ALC: 0.02
[2025-05-13T14:58:35.448374] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.05m | MAG: -0.14 | VIB: NO | ALC: 0.05
[2025-05-13T14:58:35.948582] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.01m | MAG: 0.20 | VIB: NO | ALC: 0.11
[2025-05-13T14:58:36.448402] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.99m | MAG: -0.13 | VIB: NO | ALC: 0.10
[2025-05-13T14:58:36.948351] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.03m | MAG: 0.16 | VIB: NO | ALC: 0.02
[2025-05-13T14:58:37.448322] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.00m | MAG: 0.12 | VIB: NO | ALC: 0.12
[2025-05-13T14:58:37.948297] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.00m | MAG: -0.08 | VIB: NO | ALC: 0.16
[2025-05-13T14:58:38.448337] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.95m | MAG: 0.18 | VIB: NO | ALC: 0.00
[2025-05-13T14:58:38.948278] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.00m | MAG: -0.15 | VIB: NO | ALC: 0.19
[2025-05-13T14:58:39.448514] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.43m | MAG: 0.01 | VIB: NO | ALC: 0.04
[2025-05-13T14:58:39.948297] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.27m | MAG: 0.08 | VIB: NO | ALC: 0.06
[2025-05-13T14:58:40.448308] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.99m | MAG: 0.08 | VIB: YES | ALC: 0.07
[2025-05-13T14:58:40.948343] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.00m | MAG: -0.08 | VIB: YES | ALC: 0.06
[2025-05-13T14:58:41.448334] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.02m | MAG: 0.05 | VIB: NO | ALC: 0.00
[2025-05-13T14:58:41.948307] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.47m | MAG: 0.08 | VIB: NO | ALC: 0.15
[2025-05-13T14:58:42.448250] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.02m | MAG: -0.18 | VIB: NO | ALC: 0.10
[2025-05-13T14:58:42.948324] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.00m | MAG: 0.08 | VIB: NO | ALC: 0.18
[2025-05-13T14:58:43.448302] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.96m | MAG: -0.12 | VIB: NO | ALC: 0.05
[2025-05-13T14:58:43.948311] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.02m | MAG: -0.05 | VIB: NO | ALC: 0.05
[2025-05-13T14:58:44.448349] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.45m | MAG: 0.09 | VIB: NO | ALC: 0.15
[2025-05-13T14:58:44.948328] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 0.97m | MAG: 0.19 | VIB: NO | ALC: 0.10
[2025-05-13T14:58:45.448295] POS: (27.64, 0.00, 0.0°) | VEL: linear=0.50, angular=0.00 | US: 1.02m | MAG: 0.11 | VIB: NO | ALC: 0.15
